==13696== NVPROF is profiling process 13696, command: ./graphlets data/network.txt 320
==13696== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13696== Profiling application: ./graphlets data/network.txt 320
==13696== Profiling result:
"Device","Context","Stream","Kernel","tex0_cache_sector_queries","tex1_cache_sector_queries","tex0_cache_sector_misses","tex1_cache_sector_misses","fb_subp0_read_sectors","fb_subp1_read_sectors","fb_subp0_write_sectors","fb_subp1_write_sectors","l2_subp0_write_sector_misses","l2_subp1_write_sector_misses","l2_subp0_read_sector_misses","l2_subp1_read_sector_misses","l2_subp0_read_tex_sector_queries","l2_subp1_read_tex_sector_queries","l2_subp0_write_tex_sector_queries","l2_subp1_write_tex_sector_queries","l2_subp0_read_tex_hit_sectors","l2_subp1_read_tex_hit_sectors","l2_subp0_write_tex_hit_sectors","l2_subp1_write_tex_hit_sectors","l2_subp0_total_read_sector_queries","l2_subp1_total_read_sector_queries","l2_subp0_total_write_sector_queries","l2_subp1_total_write_sector_queries","l2_subp0_read_sysmem_sector_queries","l2_subp1_read_sysmem_sector_queries","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","elapsed_cycles_sm","gld_inst_8bit","gld_inst_16bit","gld_inst_32bit","gld_inst_64bit","gld_inst_128bit","gst_inst_8bit","gst_inst_16bit","gst_inst_32bit","gst_inst_64bit","gst_inst_128bit","prof_trigger_00","prof_trigger_01","prof_trigger_02","prof_trigger_03","prof_trigger_04","prof_trigger_05","prof_trigger_06","prof_trigger_07","warps_launched","inst_issued0","inst_issued1","inst_issued2","inst_executed","thread_inst_executed","not_predicated_off_thread_inst_executed","active_cycles","active_warps","global_load","global_store","generic_load","generic_store","inst_executed_in_trap","active_cycles_in_trap","local_store","local_load","shared_load","shared_store","inst_executed_shared_atom_cas","shared_atom","global_atom_cas","atom_count","gred_count","divergent_branch","branch","shared_ld_bank_conflict","shared_st_bank_conflict","shared_ld_transactions","shared_st_transactions","inst_per_warp","branch_efficiency","warp_execution_efficiency","warp_nonpred_execution_efficiency","inst_replay_overhead","shared_load_transactions_per_request","shared_store_transactions_per_request","local_load_transactions_per_request","local_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_store_transactions","shared_load_transactions","local_load_transactions","local_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","l2_read_transactions","l2_write_transactions","global_hit_rate","local_hit_rate","gld_requested_throughput","gst_requested_throughput","gld_throughput","gst_throughput","local_memory_overhead","tex_cache_hit_rate","l2_tex_read_hit_rate","l2_tex_write_hit_rate","tex_cache_throughput","l2_tex_read_throughput","l2_tex_write_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","gld_efficiency","gst_efficiency","tex_cache_transactions","flop_count_dp","flop_count_dp_add","flop_count_dp_fma","flop_count_dp_mul","flop_count_sp","flop_count_sp_add","flop_count_sp_fma","flop_count_sp_mul","flop_count_sp_special","inst_issued","sysmem_utilization","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","stall_constant_memory_dependency","stall_pipe_busy","shared_efficiency","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","issue_slots","cf_issued","cf_executed","ldst_issued","ldst_executed","atomic_transactions","atomic_transactions_per_request","l2_atomic_throughput","l2_atomic_transactions","l2_tex_read_transactions","stall_memory_throttle","stall_not_selected","l2_tex_write_transactions","flop_count_hp","flop_count_hp_add","flop_count_hp_mul","flop_count_hp_fma","inst_fp_16","sysmem_read_utilization","sysmem_write_utilization","sm_activity","achieved_occupancy","executed_ipc","issued_ipc","issue_slot_utilization","eligible_warps_per_cycle","tex_utilization","l2_utilization","shared_utilization","ldst_fu_utilization","cf_fu_utilization","special_fu_utilization","tex_fu_utilization","single_precision_fu_utilization","double_precision_fu_utilization","flop_hp_efficiency","flop_sp_efficiency","flop_dp_efficiency","dram_read_transactions","dram_write_transactions","dram_read_throughput","dram_write_throughput","dram_utilization","half_precision_fu_utilization","ecc_transactions","ecc_throughput"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,MB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,KB/s,GB/s,GB/s,B/s,B/s,%,%,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,GB/s,,,%,%,,,,,,,,,%,,,,%,,,,,,,,,,,%,%,%,,,MB/s,MB/s,,,,B/s
"GeForce GTX 1080 (0)","1","7","graphlets(int*, unsigned __int64, int*, unsigned __int64, int*, int*, EDGE_OUTPUT*)",27150215,27015035,23243156,20581787,56629,56607,173075,172295,168570,167204,57371,55865,11055610,11211754,4332093,4359856,11196185,11218841,4309703,4431503,16422389,16197395,9423578,9061992,0,0,5,0,1298666640,98864,0,21595582,0,0,205682,0,4465848,77532,0,0,0,0,0,0,0,0,0,190,1236946037,90484680,8998164,105262314,858606384,809001444,402999056,2877835020,3932854,95811,4722746,2045280,0,0,863579,2537947,0,0,0,0,685328,0,5394,779064,16200746,0,0,0,0,554012.178947,95.191184,25.292497,23.831254,0.000011,0.000000,0.000000,4.320065,4.457516,3.091412,2.516374,0,0,10964097,3683658,22165601,4998503,0,5,32619784,18485570,18.073085,63.794018,1.770311,473.816564,14.447087,3.960103,25.052924,42.971732,101.065522,100.349095,22.356382,17.571254,6.901197,25.843279,14.645337,0.000000,4.153320,8.686391,2.918407,0.000000,0.000000,12.253756,11.684330,28218569,0,0,0,0,0,0,0,0,0,105333461,"Low (1)",7.092984,15.717235,73.724013,0.001631,0.875207,2.259049,0.006649,0.219303,0.000000,0,0,103085631,0,18950686,26443508,16208377,0,96666047,19487311,19487311,34861646,15115556,10143458,14.685297,7.932995,20026296,22178707,0.000201,0.103729,8710797,0,0,0,0,0,"Idle (0)","Low (1)",29.579199,0.116241,0.272048,0.272051,6.241633,0.253925,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,113236,345370,91.865195,280.189009,"Low (1)","Idle (0)",0,0.000000
