==13963== NVPROF is profiling process 13963, command: ./graphlets data/network.txt 64
==13963== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13963== Profiling application: ./graphlets data/network.txt 64
==13963== Profiling result:
"Device","Context","Stream","Kernel","tex0_cache_sector_queries","tex1_cache_sector_queries","tex0_cache_sector_misses","tex1_cache_sector_misses","fb_subp0_read_sectors","fb_subp1_read_sectors","fb_subp0_write_sectors","fb_subp1_write_sectors","l2_subp0_write_sector_misses","l2_subp1_write_sector_misses","l2_subp0_read_sector_misses","l2_subp1_read_sector_misses","l2_subp0_read_tex_sector_queries","l2_subp1_read_tex_sector_queries","l2_subp0_write_tex_sector_queries","l2_subp1_write_tex_sector_queries","l2_subp0_read_tex_hit_sectors","l2_subp1_read_tex_hit_sectors","l2_subp0_write_tex_hit_sectors","l2_subp1_write_tex_hit_sectors","l2_subp0_total_read_sector_queries","l2_subp1_total_read_sector_queries","l2_subp0_total_write_sector_queries","l2_subp1_total_write_sector_queries","l2_subp0_read_sysmem_sector_queries","l2_subp1_read_sysmem_sector_queries","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","elapsed_cycles_sm","gld_inst_8bit","gld_inst_16bit","gld_inst_32bit","gld_inst_64bit","gld_inst_128bit","gst_inst_8bit","gst_inst_16bit","gst_inst_32bit","gst_inst_64bit","gst_inst_128bit","prof_trigger_00","prof_trigger_01","prof_trigger_02","prof_trigger_03","prof_trigger_04","prof_trigger_05","prof_trigger_06","prof_trigger_07","warps_launched","inst_issued0","inst_issued1","inst_issued2","inst_executed","thread_inst_executed","not_predicated_off_thread_inst_executed","active_cycles","active_warps","global_load","global_store","generic_load","generic_store","inst_executed_in_trap","active_cycles_in_trap","local_store","local_load","shared_load","shared_store","inst_executed_shared_atom_cas","shared_atom","global_atom_cas","atom_count","gred_count","divergent_branch","branch","shared_ld_bank_conflict","shared_st_bank_conflict","shared_ld_transactions","shared_st_transactions","inst_per_warp","branch_efficiency","warp_execution_efficiency","warp_nonpred_execution_efficiency","inst_replay_overhead","shared_load_transactions_per_request","shared_store_transactions_per_request","local_load_transactions_per_request","local_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_store_transactions","shared_load_transactions","local_load_transactions","local_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","l2_read_transactions","l2_write_transactions","global_hit_rate","local_hit_rate","gld_requested_throughput","gst_requested_throughput","gld_throughput","gst_throughput","local_memory_overhead","tex_cache_hit_rate","l2_tex_read_hit_rate","l2_tex_write_hit_rate","tex_cache_throughput","l2_tex_read_throughput","l2_tex_write_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","gld_efficiency","gst_efficiency","tex_cache_transactions","flop_count_dp","flop_count_dp_add","flop_count_dp_fma","flop_count_dp_mul","flop_count_sp","flop_count_sp_add","flop_count_sp_fma","flop_count_sp_mul","flop_count_sp_special","inst_issued","sysmem_utilization","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","stall_constant_memory_dependency","stall_pipe_busy","shared_efficiency","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","issue_slots","cf_issued","cf_executed","ldst_issued","ldst_executed","atomic_transactions","atomic_transactions_per_request","l2_atomic_throughput","l2_atomic_transactions","l2_tex_read_transactions","stall_memory_throttle","stall_not_selected","l2_tex_write_transactions","flop_count_hp","flop_count_hp_add","flop_count_hp_mul","flop_count_hp_fma","inst_fp_16","sysmem_read_utilization","sysmem_write_utilization","sm_activity","achieved_occupancy","executed_ipc","issued_ipc","issue_slot_utilization","eligible_warps_per_cycle","tex_utilization","l2_utilization","shared_utilization","ldst_fu_utilization","cf_fu_utilization","special_fu_utilization","tex_fu_utilization","single_precision_fu_utilization","double_precision_fu_utilization","flop_hp_efficiency","flop_sp_efficiency","flop_dp_efficiency","dram_read_transactions","dram_write_transactions","dram_read_throughput","dram_write_throughput","dram_utilization","half_precision_fu_utilization","ecc_transactions","ecc_throughput"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,MB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,KB/s,GB/s,GB/s,B/s,B/s,%,%,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,GB/s,,,%,%,,,,,,,,,%,,,,%,,,,,,,,,,,%,%,%,,,MB/s,MB/s,,,,B/s
"GeForce GTX 1080 (0)","1","7","graphlets(int*, unsigned __int64, int*, unsigned __int64, int*, int*, EDGE_OUTPUT*)",27803934,26872146,22344241,21249612,52797,54394,169861,171145,166408,165542,53948,53243,11151467,11154674,4382646,4422428,11023639,11094944,4434298,4347680,16028083,15684804,9677900,9265389,0,0,1,4,1359857725,98864,0,21595582,0,0,205682,0,4465848,77532,0,0,0,0,0,0,0,0,0,188,1930747728,90085078,8965832,107932101,887784594,837061202,779800985,2832836360,3963225,109317,4801837,2046331,0,0,848281,2645004,0,0,0,0,701775,0,5377,779169,16245485,0,0,0,0,559515.031915,95.203781,25.704372,24.235758,0.000010,0.000000,0.000000,4.339787,4.339774,3.095894,2.506839,0,0,11070317,3819722,22291767,5013419,0,5,31712887,18943289,18.199567,64.057660,1.784078,477.501289,14.560239,4.002809,25.332025,43.054652,99.032393,99.599909,22.788024,17.832444,7.039864,25.320170,15.124681,0.000000,4.185547,8.838751,3.049738,0.000000,0.000000,12.253082,11.649566,28541437,0,0,0,0,0,0,0,0,0,105993484,"Low (1)",7.130357,15.881773,73.522897,0.001389,0.980650,2.205741,0.007256,0.207182,0.000000,0,0,103085247,0,18950622,26443508,16208185,0,97247493,19217695,19217695,35509156,15435933,9955234,14.077927,7.924979,19851680,22334695,0.000190,0.062564,8817255,0,0,0,0,0,"Idle (0)","Low (1)",58.487652,0.058015,0.137869,0.137083,3.144303,0.127981,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)",0.000000,0.000000,0.000000,107191,341006,87.637325,278.800029,"Low (1)","Idle (0)",0,0.000000
