==6267== NVPROF is profiling process 6267, command: ./graphlets ./networks/HumanGO_GEO.txt 128
==6267== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6267== Profiling application: ./graphlets ./networks/HumanGO_GEO.txt 128
==6267== Profiling result:
"Device","Context","Stream","Kernel","tex0_cache_sector_queries","tex1_cache_sector_queries","tex2_cache_sector_queries","tex3_cache_sector_queries","tex0_cache_sector_misses","tex1_cache_sector_misses","tex2_cache_sector_misses","tex3_cache_sector_misses","fb_subp0_read_sectors","fb_subp1_read_sectors","fb_subp0_write_sectors","fb_subp1_write_sectors","l2_subp0_write_sector_misses","l2_subp1_write_sector_misses","l2_subp2_write_sector_misses","l2_subp3_write_sector_misses","l2_subp0_read_sector_misses","l2_subp1_read_sector_misses","l2_subp2_read_sector_misses","l2_subp3_read_sector_misses","l2_subp0_write_l1_sector_queries","l2_subp1_write_l1_sector_queries","l2_subp2_write_l1_sector_queries","l2_subp3_write_l1_sector_queries","l2_subp0_read_l1_sector_queries","l2_subp1_read_l1_sector_queries","l2_subp2_read_l1_sector_queries","l2_subp3_read_l1_sector_queries","l2_subp0_read_l1_hit_sectors","l2_subp1_read_l1_hit_sectors","l2_subp2_read_l1_hit_sectors","l2_subp3_read_l1_hit_sectors","l2_subp0_read_tex_sector_queries","l2_subp1_read_tex_sector_queries","l2_subp2_read_tex_sector_queries","l2_subp3_read_tex_sector_queries","l2_subp0_read_tex_hit_sectors","l2_subp1_read_tex_hit_sectors","l2_subp2_read_tex_hit_sectors","l2_subp3_read_tex_hit_sectors","rocache_subp0_gld_thread_count_32b","rocache_subp1_gld_thread_count_32b","rocache_subp2_gld_thread_count_32b","rocache_subp3_gld_thread_count_32b","rocache_subp0_gld_thread_count_64b","rocache_subp1_gld_thread_count_64b","rocache_subp2_gld_thread_count_64b","rocache_subp3_gld_thread_count_64b","rocache_subp0_gld_thread_count_128b","rocache_subp1_gld_thread_count_128b","rocache_subp2_gld_thread_count_128b","rocache_subp3_gld_thread_count_128b","rocache_subp0_gld_warp_count_32b","rocache_subp1_gld_warp_count_32b","rocache_subp2_gld_warp_count_32b","rocache_subp3_gld_warp_count_32b","rocache_subp0_gld_warp_count_64b","rocache_subp1_gld_warp_count_64b","rocache_subp2_gld_warp_count_64b","rocache_subp3_gld_warp_count_64b","rocache_subp0_gld_warp_count_128b","rocache_subp1_gld_warp_count_128b","rocache_subp2_gld_warp_count_128b","rocache_subp3_gld_warp_count_128b","l2_subp0_read_sysmem_sector_queries","l2_subp1_read_sysmem_sector_queries","l2_subp2_read_sysmem_sector_queries","l2_subp3_read_sysmem_sector_queries","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","l2_subp2_write_sysmem_sector_queries","l2_subp3_write_sysmem_sector_queries","l2_subp0_total_read_sector_queries","l2_subp1_total_read_sector_queries","l2_subp2_total_read_sector_queries","l2_subp3_total_read_sector_queries","l2_subp0_total_write_sector_queries","l2_subp1_total_write_sector_queries","l2_subp2_total_write_sector_queries","l2_subp3_total_write_sector_queries","elapsed_cycles_sm","gld_inst_8bit","gld_inst_16bit","gld_inst_32bit","gld_inst_64bit","gld_inst_128bit","gst_inst_8bit","gst_inst_16bit","gst_inst_32bit","gst_inst_64bit","gst_inst_128bit","rocache_gld_inst_8bit","rocache_gld_inst_16bit","rocache_gld_inst_32bit","rocache_gld_inst_64bit","rocache_gld_inst_128bit","prof_trigger_00","prof_trigger_01","prof_trigger_02","prof_trigger_03","prof_trigger_04","prof_trigger_05","prof_trigger_06","prof_trigger_07","atom_cas_count","warps_launched","threads_launched","inst_executed","inst_issued1","inst_issued2","thread_inst_executed","shared_load","shared_store","local_load","local_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","not_predicated_off_thread_inst_executed","l1_local_load_hit","l1_local_load_miss","l1_local_store_hit","l1_local_store_miss","l1_global_load_hit","l1_global_load_miss","uncached_global_load_transaction","global_store_transaction","shared_load_replay","shared_store_replay","global_ld_mem_divergence_replays","global_st_mem_divergence_replays","local_load_transactions","local_store_transactions","l1_shared_load_transactions","l1_shared_store_transactions","__l1_global_load_transactions","__l1_global_store_transactions","atom_count","gred_count","l1_cache_global_hit_rate","l1_cache_local_hit_rate","sm_efficiency","ipc","achieved_occupancy","gld_requested_throughput","gst_requested_throughput","sm_efficiency_instance","ipc_instance","inst_replay_overhead","shared_replay_overhead","global_replay_overhead","global_cache_replay_overhead","tex_cache_hit_rate","tex_cache_throughput","dram_read_throughput","dram_write_throughput","gst_throughput","gld_throughput","local_replay_overhead","shared_efficiency","gld_efficiency","gst_efficiency","l2_l1_read_hit_rate","l2_texture_read_hit_rate","l2_l1_read_throughput","l2_texture_read_throughput","local_memory_overhead","warp_execution_efficiency","nc_gld_requested_throughput","issued_ipc","inst_per_warp","issue_slot_utilization","local_load_transactions_per_request","local_store_transactions_per_request","shared_load_transactions_per_request","shared_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_load_transactions","shared_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","tex_cache_transactions","dram_read_transactions","dram_write_transactions","l2_read_transactions","l2_write_transactions","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","warp_nonpred_execution_efficiency","cf_issued","cf_executed","ldst_issued","ldst_executed","flop_count_sp","flop_count_sp_add","flop_count_sp_mul","flop_count_sp_fma","flop_count_dp","flop_count_dp_add","flop_count_dp_mul","flop_count_dp_fma","flop_count_sp_special","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","l1_shared_utilization","l2_utilization","tex_utilization","dram_utilization","sysmem_utilization","ldst_fu_utilization","alu_fu_utilization","cf_fu_utilization","tex_fu_utilization","inst_issued","issue_slots","nc_l2_read_throughput","nc_l2_read_transactions","nc_cache_global_hit_rate","nc_gld_throughput","nc_gld_efficiency","l2_atomic_throughput","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","atomic_replay_overhead","atomic_transactions","atomic_transactions_per_request","sysmem_read_utilization","sysmem_write_utilization","l2_l1_read_transactions","l2_l1_write_transactions","l2_tex_read_transactions","l2_l1_write_throughput","l2_atomic_transactions","ecc_transactions","ecc_throughput","stall_pipe_busy","stall_constant_memory_dependency","flop_sp_efficiency","flop_dp_efficiency","stall_memory_throttle","stall_not_selected","eligible_warps_per_cycle","atomic_throughput"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,%,,,GB/s,GB/s,%,,,,,,%,B/s,GB/s,GB/s,GB/s,GB/s,,%,%,%,%,%,GB/s,B/s,%,%,B/s,,,%,,,,,,,,,,,,,,,,,,GB/s,GB/s,B/s,B/s,GB/s,GB/s,B/s,B/s,%,,,,,,,,,,,,,,%,%,%,%,%,%,,,,,,,,,,,,B/s,,%,B/s,%,GB/s,,,,,,,,,,,,,,,,,GB/s,,,B/s,%,%,%,%,%,%,,GB/s
"Tesla K20c (0)","1","7","graphlets(int*, unsigned __int64, int*, unsigned __int64, int*, int*, EDGE_OUTPUT*)",0,0,0,0,0,0,0,0,84733751,83457268,60781447,61252547,31003018,30446622,30628431,29559605,42499526,41445479,44131752,42171723,38346565,37239708,37613633,37556844,180339643,179350145,180517576,179217953,136177912,134964746,136478018,134043933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,216231545,219508971,211976281,210826723,72330077,71193947,69002422,69543159,4158262563,35264940,0,714567616,0,0,4780876,0,117265081,2839798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11120653,6828,218496,4234357416,3484256733,1058097691,59199041374,0,0,8095294,8707785,271152167,31454786,3946504631,156489447594,1707,55946756398,2996561,5711490,4977638,915383,0,0,673762693,128731870,0,0,409213185,97378710,9717427,9394893,0,0,776063725,133264951,0,94429,0.000000,54.613791,97.288672,1.032594,0.619573,4.892889,1.019644,97.288672,1.032594,0.341142,0.000000,0.119638,0.000000,0.000000,0.000000,11.051721,8.018773,8.206161,36.122851,0.001488,0.000000,13.545134,12.425346,75.291291,0.000000,47.272963,0.000000,22.473386,44.301280,0.000000,1.410749,627659.639279,28.633229,1.200380,1.078907,0.000000,0.000000,5.327115,4.791503,0,0,673762693,128731870,0,5,0,168191019,122033994,858543520,282069605,2.306410,1.869592,0.000000,0.000000,56.414328,18.534608,0.000000,352.000000,40.795026,1342506259,1287845177,1596296692,345560220,0,0,0,0,0,0,0,0,0,5.609616,24.266275,34.971226,0.000000,0.325133,11.855800,"Low (1)","Low (2)","Idle (0)","Low (1)","Low (1)","Mid (4)","Low (2)","Low (1)","Idle (0)",5707212593,4633450222,0.000000,0,0.000000,0.000000,0.000000,9.714624,0,0,2281002971,0,490292597,874718311,234307940,0,0.029158,346672959,30.911317,"Idle (0)","Low (1)",719425317,150756750,0,9.906127,295684712,0,0.000000,2.793525,0.000135,0.000000,0.000000,16.203991,3.974299,2.721646,91.118605
