==24683== NVPROF is profiling process 24683, command: ./graphlets ./networks/HumanPPI_SF.txt 352
==24683== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==24683== Profiling application: ./graphlets ./networks/HumanPPI_SF.txt 352
==24683== Profiling result:
"Device","Context","Stream","Kernel","tex0_cache_sector_queries","tex1_cache_sector_queries","tex0_cache_sector_misses","tex1_cache_sector_misses","fb_subp0_read_sectors","fb_subp1_read_sectors","fb_subp0_write_sectors","fb_subp1_write_sectors","l2_subp0_write_sector_misses","l2_subp1_write_sector_misses","l2_subp0_read_sector_misses","l2_subp1_read_sector_misses","l2_subp0_read_tex_sector_queries","l2_subp1_read_tex_sector_queries","l2_subp0_write_tex_sector_queries","l2_subp1_write_tex_sector_queries","l2_subp0_read_tex_hit_sectors","l2_subp1_read_tex_hit_sectors","l2_subp0_write_tex_hit_sectors","l2_subp1_write_tex_hit_sectors","l2_subp0_total_read_sector_queries","l2_subp1_total_read_sector_queries","l2_subp0_total_write_sector_queries","l2_subp1_total_write_sector_queries","l2_subp0_read_sysmem_sector_queries","l2_subp1_read_sysmem_sector_queries","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","elapsed_cycles_sm","gld_inst_8bit","gld_inst_16bit","gld_inst_32bit","gld_inst_64bit","gld_inst_128bit","gst_inst_8bit","gst_inst_16bit","gst_inst_32bit","gst_inst_64bit","gst_inst_128bit","prof_trigger_00","prof_trigger_01","prof_trigger_02","prof_trigger_03","prof_trigger_04","prof_trigger_05","prof_trigger_06","prof_trigger_07","warps_launched","inst_issued0","inst_issued1","inst_issued2","inst_executed","thread_inst_executed","not_predicated_off_thread_inst_executed","active_cycles","active_warps","global_load","global_store","generic_load","generic_store","inst_executed_in_trap","active_cycles_in_trap","local_store","local_load","shared_load","shared_store","inst_executed_shared_atom_cas","shared_atom","global_atom_cas","atom_count","gred_count","divergent_branch","branch","shared_ld_bank_conflict","shared_st_bank_conflict","shared_ld_transactions","shared_st_transactions","inst_per_warp","branch_efficiency","warp_execution_efficiency","warp_nonpred_execution_efficiency","inst_replay_overhead","shared_load_transactions_per_request","shared_store_transactions_per_request","local_load_transactions_per_request","local_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_store_transactions","shared_load_transactions","local_load_transactions","local_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","l2_read_transactions","l2_write_transactions","global_hit_rate","local_hit_rate","gld_requested_throughput","gst_requested_throughput","gld_throughput","gst_throughput","local_memory_overhead","tex_cache_hit_rate","l2_tex_read_hit_rate","l2_tex_write_hit_rate","tex_cache_throughput","l2_tex_read_throughput","l2_tex_write_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","gld_efficiency","gst_efficiency","tex_cache_transactions","flop_count_dp","flop_count_dp_add","flop_count_dp_fma","flop_count_dp_mul","flop_count_sp","flop_count_sp_add","flop_count_sp_fma","flop_count_sp_mul","flop_count_sp_special","inst_issued","sysmem_utilization","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","stall_constant_memory_dependency","stall_pipe_busy","shared_efficiency","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","issue_slots","cf_issued","cf_executed","ldst_issued","ldst_executed","atomic_transactions","atomic_transactions_per_request","l2_atomic_throughput","l2_atomic_transactions","l2_tex_read_transactions","stall_memory_throttle","stall_not_selected","l2_tex_write_transactions","flop_count_hp","flop_count_hp_add","flop_count_hp_mul","flop_count_hp_fma","inst_fp_16","sysmem_read_utilization","sysmem_write_utilization","sm_activity","achieved_occupancy","executed_ipc","issued_ipc","issue_slot_utilization","eligible_warps_per_cycle","tex_utilization","l2_utilization","shared_utilization","ldst_fu_utilization","cf_fu_utilization","special_fu_utilization","tex_fu_utilization","single_precision_fu_utilization","double_precision_fu_utilization","flop_hp_efficiency","flop_sp_efficiency","flop_dp_efficiency","dram_read_transactions","dram_write_transactions","dram_read_throughput","dram_write_throughput","dram_utilization","half_precision_fu_utilization","ecc_transactions","ecc_throughput"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,GB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,B/s,GB/s,GB/s,B/s,B/s,%,%,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,GB/s,,,%,%,,,,,,,,,%,,,,%,,,,,,,,,,,%,%,%,,,GB/s,GB/s,,,,B/s
"GeForce GTX 1080 (0)","1","7","graphlets(int*, unsigned __int64, int*, unsigned __int64, int*, int*, EDGE_OUTPUT*)",6424300750,6291791976,4903295925,4737032980,95091763,99266132,67445831,72440470,69500211,69570618,96862751,97495144,1873692181,1863902967,841917733,814949483,1783522512,1765345224,838361867,811852161,3618414116,3618150866,2566724539,2548048700,0,0,0,5,34752101015,1612552,0,1856999634,0,0,9507874,0,403500307,1724242,0,0,0,0,0,0,0,0,0,4147,90499966759,16267426051,1815743327,19898908911,249308182282,236782637390,28377525637,807109032684,386842606,6132025,760394811,208654596,0,0,215305061,838378417,0,0,0,0,211766308,0,96520,55827947,2708361591,0,0,0,0,4754160.176754,97.938682,39.180600,37.212119,0.000000,0.000000,0.000000,4.779874,5.700424,3.994796,2.008464,0,0,3961607421,1228115348,2879632066,424316052,0,5,7236564982,5114773239,34.222931,53.570938,5.733894,1.489748,55.075500,12.354447,57.071503,57.547223,94.743238,99.858022,196.088515,109.062494,48.116181,210.700858,148.922467,0.000000,156.000000,115.346726,35.757982,0.000000,0.000000,10.410970,12.058398,6734701020,0,0,0,0,0,0,0,0,0,19722423089,"Low (1)",4.591199,9.461851,82.460688,0.003492,0.180436,2.489737,0.000123,0.309443,0.000000,0,0,8733106426,0,1525767249,2273344609,1358797760,0,17929355295,3312276434,3312276434,8271360371,2639329759,3454367582,16.304736,101.043361,6940710678,3745774155,0.000015,0.503015,1652560295,0,0,0,0,0,"Idle (0)","Low (1)",87.083306,0.448285,0.700825,0.697118,15.843477,0.774574,"Low (2)","Mid (5)","Idle (0)","Low (1)","Low (1)","Low (1)","Low (2)","Low (2)","Idle (0)",0.000000,0.000000,0.000000,194357895,139886301,5.658952,4.072949,"Low (1)","Idle (0)",0,0.000000
