==4541== NVPROF is profiling process 4541, command: ./graphlets ./networks/YeastGO_GEO.txt 320
==4541== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4541== Profiling application: ./graphlets ./networks/YeastGO_GEO.txt 320
==4541== Profiling result:
"Device","Context","Stream","Kernel","tex0_cache_sector_queries","tex1_cache_sector_queries","tex2_cache_sector_queries","tex3_cache_sector_queries","tex0_cache_sector_misses","tex1_cache_sector_misses","tex2_cache_sector_misses","tex3_cache_sector_misses","fb_subp0_read_sectors","fb_subp1_read_sectors","fb_subp0_write_sectors","fb_subp1_write_sectors","l2_subp0_write_sector_misses","l2_subp1_write_sector_misses","l2_subp2_write_sector_misses","l2_subp3_write_sector_misses","l2_subp0_read_sector_misses","l2_subp1_read_sector_misses","l2_subp2_read_sector_misses","l2_subp3_read_sector_misses","l2_subp0_write_l1_sector_queries","l2_subp1_write_l1_sector_queries","l2_subp2_write_l1_sector_queries","l2_subp3_write_l1_sector_queries","l2_subp0_read_l1_sector_queries","l2_subp1_read_l1_sector_queries","l2_subp2_read_l1_sector_queries","l2_subp3_read_l1_sector_queries","l2_subp0_read_l1_hit_sectors","l2_subp1_read_l1_hit_sectors","l2_subp2_read_l1_hit_sectors","l2_subp3_read_l1_hit_sectors","l2_subp0_read_tex_sector_queries","l2_subp1_read_tex_sector_queries","l2_subp2_read_tex_sector_queries","l2_subp3_read_tex_sector_queries","l2_subp0_read_tex_hit_sectors","l2_subp1_read_tex_hit_sectors","l2_subp2_read_tex_hit_sectors","l2_subp3_read_tex_hit_sectors","rocache_subp0_gld_thread_count_32b","rocache_subp1_gld_thread_count_32b","rocache_subp2_gld_thread_count_32b","rocache_subp3_gld_thread_count_32b","rocache_subp0_gld_thread_count_64b","rocache_subp1_gld_thread_count_64b","rocache_subp2_gld_thread_count_64b","rocache_subp3_gld_thread_count_64b","rocache_subp0_gld_thread_count_128b","rocache_subp1_gld_thread_count_128b","rocache_subp2_gld_thread_count_128b","rocache_subp3_gld_thread_count_128b","rocache_subp0_gld_warp_count_32b","rocache_subp1_gld_warp_count_32b","rocache_subp2_gld_warp_count_32b","rocache_subp3_gld_warp_count_32b","rocache_subp0_gld_warp_count_64b","rocache_subp1_gld_warp_count_64b","rocache_subp2_gld_warp_count_64b","rocache_subp3_gld_warp_count_64b","rocache_subp0_gld_warp_count_128b","rocache_subp1_gld_warp_count_128b","rocache_subp2_gld_warp_count_128b","rocache_subp3_gld_warp_count_128b","l2_subp0_read_sysmem_sector_queries","l2_subp1_read_sysmem_sector_queries","l2_subp2_read_sysmem_sector_queries","l2_subp3_read_sysmem_sector_queries","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","l2_subp2_write_sysmem_sector_queries","l2_subp3_write_sysmem_sector_queries","l2_subp0_total_read_sector_queries","l2_subp1_total_read_sector_queries","l2_subp2_total_read_sector_queries","l2_subp3_total_read_sector_queries","l2_subp0_total_write_sector_queries","l2_subp1_total_write_sector_queries","l2_subp2_total_write_sector_queries","l2_subp3_total_write_sector_queries","elapsed_cycles_sm","gld_inst_8bit","gld_inst_16bit","gld_inst_32bit","gld_inst_64bit","gld_inst_128bit","gst_inst_8bit","gst_inst_16bit","gst_inst_32bit","gst_inst_64bit","gst_inst_128bit","rocache_gld_inst_8bit","rocache_gld_inst_16bit","rocache_gld_inst_32bit","rocache_gld_inst_64bit","rocache_gld_inst_128bit","prof_trigger_00","prof_trigger_01","prof_trigger_02","prof_trigger_03","prof_trigger_04","prof_trigger_05","prof_trigger_06","prof_trigger_07","atom_cas_count","warps_launched","threads_launched","inst_executed","inst_issued1","inst_issued2","thread_inst_executed","shared_load","shared_store","local_load","local_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","not_predicated_off_thread_inst_executed","l1_local_load_hit","l1_local_load_miss","l1_local_store_hit","l1_local_store_miss","l1_global_load_hit","l1_global_load_miss","uncached_global_load_transaction","global_store_transaction","shared_load_replay","shared_store_replay","global_ld_mem_divergence_replays","global_st_mem_divergence_replays","local_load_transactions","local_store_transactions","l1_shared_load_transactions","l1_shared_store_transactions","__l1_global_load_transactions","__l1_global_store_transactions","atom_count","gred_count","l1_cache_global_hit_rate","l1_cache_local_hit_rate","sm_efficiency","ipc","achieved_occupancy","gld_requested_throughput","gst_requested_throughput","sm_efficiency_instance","ipc_instance","inst_replay_overhead","shared_replay_overhead","global_replay_overhead","global_cache_replay_overhead","tex_cache_hit_rate","tex_cache_throughput","dram_read_throughput","dram_write_throughput","gst_throughput","gld_throughput","local_replay_overhead","shared_efficiency","gld_efficiency","gst_efficiency","l2_l1_read_hit_rate","l2_texture_read_hit_rate","l2_l1_read_throughput","l2_texture_read_throughput","local_memory_overhead","warp_execution_efficiency","nc_gld_requested_throughput","issued_ipc","inst_per_warp","issue_slot_utilization","local_load_transactions_per_request","local_store_transactions_per_request","shared_load_transactions_per_request","shared_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_load_transactions","shared_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","tex_cache_transactions","dram_read_transactions","dram_write_transactions","l2_read_transactions","l2_write_transactions","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","warp_nonpred_execution_efficiency","cf_issued","cf_executed","ldst_issued","ldst_executed","flop_count_sp","flop_count_sp_add","flop_count_sp_mul","flop_count_sp_fma","flop_count_dp","flop_count_dp_add","flop_count_dp_mul","flop_count_dp_fma","flop_count_sp_special","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","l1_shared_utilization","l2_utilization","tex_utilization","dram_utilization","sysmem_utilization","ldst_fu_utilization","alu_fu_utilization","cf_fu_utilization","tex_fu_utilization","inst_issued","issue_slots","nc_l2_read_throughput","nc_l2_read_transactions","nc_cache_global_hit_rate","nc_gld_throughput","nc_gld_efficiency","l2_atomic_throughput","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","atomic_replay_overhead","atomic_transactions","atomic_transactions_per_request","sysmem_read_utilization","sysmem_write_utilization","l2_l1_read_transactions","l2_l1_write_transactions","l2_tex_read_transactions","l2_l1_write_throughput","l2_atomic_transactions","ecc_transactions","ecc_throughput","stall_pipe_busy","stall_constant_memory_dependency","flop_sp_efficiency","flop_dp_efficiency","stall_memory_throttle","stall_not_selected","eligible_warps_per_cycle","atomic_throughput"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,%,,,GB/s,MB/s,%,,,,,,%,B/s,GB/s,GB/s,GB/s,GB/s,,%,%,%,%,%,GB/s,B/s,%,%,B/s,,,%,,,,,,,,,,,,,,,,,,GB/s,MB/s,B/s,B/s,GB/s,GB/s,B/s,KB/s,%,,,,,,,,,,,,,,%,%,%,%,%,%,,,,,,,,,,,,B/s,,%,B/s,%,GB/s,,,,,,,,,,,,,,,,,GB/s,,,B/s,%,%,%,%,%,%,,GB/s
"Tesla K40c (0)","1","7","graphlets(int*, unsigned __int64, int*, unsigned __int64, int*, int*, EDGE_OUTPUT*)",0,0,0,0,0,0,0,0,12344555,12348247,21250388,21275493,11051957,10795457,11361909,10950115,5745486,6160529,5875278,5785292,11558047,12096966,11718955,11237512,53996273,54033951,52706430,52911396,48092927,48782893,46479705,46858750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,75002272,72277836,73078675,71865319,33325149,35966665,31357013,30499094,2376322809,10189352,0,204856166,0,0,1452609,0,33514508,933140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5272129,2250,72000,1605237282,1664511376,388011530,25302261400,0,0,2610413,2643491,83830705,10594842,2500452393,78506173106,225,22836240136,632075,2255054,1050562,343065,0,0,201349408,38553241,0,0,116819637,27777545,5903460,4951624,0,0,269822781,41859744,0,37525,0.000000,39.307006,92.840652,0.685517,0.558093,2.786612,597.020452,92.840652,0.685517,0.623549,0.000000,0.088326,0.000000,0.000000,0.000000,3.222161,5.549197,4.684620,20.638404,0.001568,0.000000,13.502070,12.445573,89.031599,0.000000,27.878907,0.000000,25.435499,48.901096,0.000000,1.106220,713438.792000,23.258645,2.261504,1.873138,0.000000,0.000000,5.424086,4.901033,0,0,201349408,38553241,0,12,0,24692802,42525881,292224102,131147921,1.486469,950.849125,0.000000,0.000000,38.132286,17.113476,0.000000,1.641602,44.456512,504952631,492327592,951322709,113244435,0,0,0,0,0,0,0,0,0,3.627332,17.002947,33.982941,0.000000,0.666375,7.160201,"Low (1)","Low (2)","Idle (0)","Low (1)","Low (1)","Mid (4)","Low (1)","Low (1)","Idle (0)",2625162249,2219322938,0.000000,0,0.000000,0.000000,0.000000,11.095358,0,0,655754771,0,140451564,250945775,69351682,0,0.049167,528772666,99.587029,"Idle (0)","Low (1)",213648050,46611480,0,6.082326,170056998,0,0.000000,1.960036,0.000280,0.000000,0.000000,33.247094,2.352792,1.878883,275.997915
