==21302== NVPROF is profiling process 21302, command: ./graphlets ./networks/YeastGO_SF.txt 480
==21302== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==21302== Profiling application: ./graphlets ./networks/YeastGO_SF.txt 480
==21302== Profiling result:
"Device","Context","Stream","Kernel","tex0_cache_sector_queries","tex1_cache_sector_queries","tex2_cache_sector_queries","tex3_cache_sector_queries","tex0_cache_sector_misses","tex1_cache_sector_misses","tex2_cache_sector_misses","tex3_cache_sector_misses","fb_subp0_read_sectors","fb_subp1_read_sectors","fb_subp0_write_sectors","fb_subp1_write_sectors","l2_subp0_write_sector_misses","l2_subp1_write_sector_misses","l2_subp2_write_sector_misses","l2_subp3_write_sector_misses","l2_subp0_read_sector_misses","l2_subp1_read_sector_misses","l2_subp2_read_sector_misses","l2_subp3_read_sector_misses","l2_subp0_write_l1_sector_queries","l2_subp1_write_l1_sector_queries","l2_subp2_write_l1_sector_queries","l2_subp3_write_l1_sector_queries","l2_subp0_read_l1_sector_queries","l2_subp1_read_l1_sector_queries","l2_subp2_read_l1_sector_queries","l2_subp3_read_l1_sector_queries","l2_subp0_read_l1_hit_sectors","l2_subp1_read_l1_hit_sectors","l2_subp2_read_l1_hit_sectors","l2_subp3_read_l1_hit_sectors","l2_subp0_read_tex_sector_queries","l2_subp1_read_tex_sector_queries","l2_subp2_read_tex_sector_queries","l2_subp3_read_tex_sector_queries","l2_subp0_read_tex_hit_sectors","l2_subp1_read_tex_hit_sectors","l2_subp2_read_tex_hit_sectors","l2_subp3_read_tex_hit_sectors","rocache_subp0_gld_thread_count_32b","rocache_subp1_gld_thread_count_32b","rocache_subp2_gld_thread_count_32b","rocache_subp3_gld_thread_count_32b","rocache_subp0_gld_thread_count_64b","rocache_subp1_gld_thread_count_64b","rocache_subp2_gld_thread_count_64b","rocache_subp3_gld_thread_count_64b","rocache_subp0_gld_thread_count_128b","rocache_subp1_gld_thread_count_128b","rocache_subp2_gld_thread_count_128b","rocache_subp3_gld_thread_count_128b","rocache_subp0_gld_warp_count_32b","rocache_subp1_gld_warp_count_32b","rocache_subp2_gld_warp_count_32b","rocache_subp3_gld_warp_count_32b","rocache_subp0_gld_warp_count_64b","rocache_subp1_gld_warp_count_64b","rocache_subp2_gld_warp_count_64b","rocache_subp3_gld_warp_count_64b","rocache_subp0_gld_warp_count_128b","rocache_subp1_gld_warp_count_128b","rocache_subp2_gld_warp_count_128b","rocache_subp3_gld_warp_count_128b","l2_subp0_read_sysmem_sector_queries","l2_subp1_read_sysmem_sector_queries","l2_subp2_read_sysmem_sector_queries","l2_subp3_read_sysmem_sector_queries","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","l2_subp2_write_sysmem_sector_queries","l2_subp3_write_sysmem_sector_queries","l2_subp0_total_read_sector_queries","l2_subp1_total_read_sector_queries","l2_subp2_total_read_sector_queries","l2_subp3_total_read_sector_queries","l2_subp0_total_write_sector_queries","l2_subp1_total_write_sector_queries","l2_subp2_total_write_sector_queries","l2_subp3_total_write_sector_queries","elapsed_cycles_sm","gld_inst_8bit","gld_inst_16bit","gld_inst_32bit","gld_inst_64bit","gld_inst_128bit","gst_inst_8bit","gst_inst_16bit","gst_inst_32bit","gst_inst_64bit","gst_inst_128bit","rocache_gld_inst_8bit","rocache_gld_inst_16bit","rocache_gld_inst_32bit","rocache_gld_inst_64bit","rocache_gld_inst_128bit","prof_trigger_00","prof_trigger_01","prof_trigger_02","prof_trigger_03","prof_trigger_04","prof_trigger_05","prof_trigger_06","prof_trigger_07","atom_cas_count","warps_launched","threads_launched","inst_executed","inst_issued1","inst_issued2","thread_inst_executed","shared_load","shared_store","local_load","local_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","not_predicated_off_thread_inst_executed","l1_local_load_hit","l1_local_load_miss","l1_local_store_hit","l1_local_store_miss","l1_global_load_hit","l1_global_load_miss","uncached_global_load_transaction","global_store_transaction","shared_load_replay","shared_store_replay","global_ld_mem_divergence_replays","global_st_mem_divergence_replays","local_load_transactions","local_store_transactions","l1_shared_load_transactions","l1_shared_store_transactions","__l1_global_load_transactions","__l1_global_store_transactions","atom_count","gred_count","l1_cache_global_hit_rate","l1_cache_local_hit_rate","sm_efficiency","ipc","achieved_occupancy","gld_requested_throughput","gst_requested_throughput","sm_efficiency_instance","ipc_instance","inst_replay_overhead","shared_replay_overhead","global_replay_overhead","global_cache_replay_overhead","tex_cache_hit_rate","tex_cache_throughput","dram_read_throughput","dram_write_throughput","gst_throughput","gld_throughput","local_replay_overhead","shared_efficiency","gld_efficiency","gst_efficiency","l2_l1_read_hit_rate","l2_texture_read_hit_rate","l2_l1_read_throughput","l2_texture_read_throughput","local_memory_overhead","warp_execution_efficiency","nc_gld_requested_throughput","issued_ipc","inst_per_warp","issue_slot_utilization","local_load_transactions_per_request","local_store_transactions_per_request","shared_load_transactions_per_request","shared_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_load_transactions","shared_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","tex_cache_transactions","dram_read_transactions","dram_write_transactions","l2_read_transactions","l2_write_transactions","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","warp_nonpred_execution_efficiency","cf_issued","cf_executed","ldst_issued","ldst_executed","flop_count_sp","flop_count_sp_add","flop_count_sp_mul","flop_count_sp_fma","flop_count_dp","flop_count_dp_add","flop_count_dp_mul","flop_count_dp_fma","flop_count_sp_special","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","l1_shared_utilization","l2_utilization","tex_utilization","dram_utilization","sysmem_utilization","ldst_fu_utilization","alu_fu_utilization","cf_fu_utilization","tex_fu_utilization","inst_issued","issue_slots","nc_l2_read_throughput","nc_l2_read_transactions","nc_cache_global_hit_rate","nc_gld_throughput","nc_gld_efficiency","l2_atomic_throughput","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","atomic_replay_overhead","atomic_transactions","atomic_transactions_per_request","sysmem_read_utilization","sysmem_write_utilization","l2_l1_read_transactions","l2_l1_write_transactions","l2_tex_read_transactions","l2_l1_write_throughput","l2_atomic_transactions","ecc_transactions","ecc_throughput","stall_pipe_busy","stall_constant_memory_dependency","flop_sp_efficiency","flop_dp_efficiency","stall_memory_throttle","stall_not_selected","eligible_warps_per_cycle","atomic_throughput"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,%,,,GB/s,MB/s,%,,,,,,%,B/s,GB/s,GB/s,GB/s,GB/s,,%,%,%,%,%,GB/s,B/s,%,%,B/s,,,%,,,,,,,,,,,,,,,,,,MB/s,MB/s,B/s,B/s,GB/s,GB/s,B/s,B/s,%,,,,,,,,,,,,,,%,%,%,%,%,%,,,,,,,,,,,,B/s,,%,B/s,%,MB/s,,,,,,,,,,,,,,,,,GB/s,,,B/s,%,%,%,%,%,%,,GB/s
"Tesla K20c (0)","1","7","graphlets(int*, unsigned __int64, int*, unsigned __int64, int*, int*, EDGE_OUTPUT*)",0,0,0,0,0,0,0,0,36229081,36858888,84791837,84990204,42499125,43478399,42693090,42600240,18365741,18155708,18367298,17973541,58077619,58590079,57601780,57025568,284756181,286728172,283868668,285831482,266648733,267465043,264609778,266435932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,295808478,294159379,295250882,295673907,65514415,67392844,66395163,66950574,11181607307,1623436,0,997709854,0,0,5073734,0,215105282,931749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398914,2250,72000,6458066996,4618210600,1859701050,80244241584,0,0,7493434,7372289,720452033,108333484,8862692864,219232886328,150,73819990346,5692651,1990643,6255474,322240,0,0,1096596054,223601602,0,0,375627389,115316469,7955496,7534425,0,0,1099197101,223864019,0,54534,0.000000,83.781771,78.237989,0.742958,0.391342,2.568062,679.845198,78.237989,0.742958,0.297201,0.000000,0.076020,0.000000,0.000000,0.000000,1.778759,4.132026,5.381225,18.975298,0.000368,0.000000,13.533713,12.337550,93.338061,0.000000,27.773277,0.000000,27.081429,37.913290,0.000000,0.953059,2858979.258222,18.511990,1.061662,1.021993,0.000000,0.000000,2.959254,2.118487,0,0,1096596054,223601602,0,1,0,73087969,169782041,1180892646,266252996,775.697924,704.400441,0.000000,0.000000,28.739663,6.479862,0.000000,26.000000,35.861668,1560719568,1489258014,1586621808,853216091,0,0,0,0,0,0,0,0,0,6.895935,30.513504,48.683390,0.000000,0.209798,4.725828,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Low (2)","Low (2)","Low (1)","Idle (0)",8579848865,6671187750,0.000000,0,0.000000,0.000000,0.000000,889.638593,0,0,2856483183,0,633874858,1220444055,225649525,0,0.005660,53319045,21.732291,"Idle (0)","Low (1)",1141184503,231295046,0,5.629082,71395756,0,0.000000,1.579870,0.000142,0.000000,0.000000,4.653166,2.738368,1.391366,5.190553
