==14434== NVPROF is profiling process 14434, command: ./graphlets ./networks/HumanGO_ER.txt 192
==14434== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14434== Profiling application: ./graphlets ./networks/HumanGO_ER.txt 192
==14434== Profiling result:
"Device","Context","Stream","Kernel","tex0_cache_sector_queries","tex1_cache_sector_queries","tex2_cache_sector_queries","tex3_cache_sector_queries","tex0_cache_sector_misses","tex1_cache_sector_misses","tex2_cache_sector_misses","tex3_cache_sector_misses","fb_subp0_read_sectors","fb_subp1_read_sectors","fb_subp0_write_sectors","fb_subp1_write_sectors","l2_subp0_write_sector_misses","l2_subp1_write_sector_misses","l2_subp2_write_sector_misses","l2_subp3_write_sector_misses","l2_subp0_read_sector_misses","l2_subp1_read_sector_misses","l2_subp2_read_sector_misses","l2_subp3_read_sector_misses","l2_subp0_write_l1_sector_queries","l2_subp1_write_l1_sector_queries","l2_subp2_write_l1_sector_queries","l2_subp3_write_l1_sector_queries","l2_subp0_read_l1_sector_queries","l2_subp1_read_l1_sector_queries","l2_subp2_read_l1_sector_queries","l2_subp3_read_l1_sector_queries","l2_subp0_read_l1_hit_sectors","l2_subp1_read_l1_hit_sectors","l2_subp2_read_l1_hit_sectors","l2_subp3_read_l1_hit_sectors","l2_subp0_read_tex_sector_queries","l2_subp1_read_tex_sector_queries","l2_subp2_read_tex_sector_queries","l2_subp3_read_tex_sector_queries","l2_subp0_read_tex_hit_sectors","l2_subp1_read_tex_hit_sectors","l2_subp2_read_tex_hit_sectors","l2_subp3_read_tex_hit_sectors","rocache_subp0_gld_thread_count_32b","rocache_subp1_gld_thread_count_32b","rocache_subp2_gld_thread_count_32b","rocache_subp3_gld_thread_count_32b","rocache_subp0_gld_thread_count_64b","rocache_subp1_gld_thread_count_64b","rocache_subp2_gld_thread_count_64b","rocache_subp3_gld_thread_count_64b","rocache_subp0_gld_thread_count_128b","rocache_subp1_gld_thread_count_128b","rocache_subp2_gld_thread_count_128b","rocache_subp3_gld_thread_count_128b","rocache_subp0_gld_warp_count_32b","rocache_subp1_gld_warp_count_32b","rocache_subp2_gld_warp_count_32b","rocache_subp3_gld_warp_count_32b","rocache_subp0_gld_warp_count_64b","rocache_subp1_gld_warp_count_64b","rocache_subp2_gld_warp_count_64b","rocache_subp3_gld_warp_count_64b","rocache_subp0_gld_warp_count_128b","rocache_subp1_gld_warp_count_128b","rocache_subp2_gld_warp_count_128b","rocache_subp3_gld_warp_count_128b","l2_subp0_read_sysmem_sector_queries","l2_subp1_read_sysmem_sector_queries","l2_subp2_read_sysmem_sector_queries","l2_subp3_read_sysmem_sector_queries","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","l2_subp2_write_sysmem_sector_queries","l2_subp3_write_sysmem_sector_queries","l2_subp0_total_read_sector_queries","l2_subp1_total_read_sector_queries","l2_subp2_total_read_sector_queries","l2_subp3_total_read_sector_queries","l2_subp0_total_write_sector_queries","l2_subp1_total_write_sector_queries","l2_subp2_total_write_sector_queries","l2_subp3_total_write_sector_queries","elapsed_cycles_sm","gld_inst_8bit","gld_inst_16bit","gld_inst_32bit","gld_inst_64bit","gld_inst_128bit","gst_inst_8bit","gst_inst_16bit","gst_inst_32bit","gst_inst_64bit","gst_inst_128bit","rocache_gld_inst_8bit","rocache_gld_inst_16bit","rocache_gld_inst_32bit","rocache_gld_inst_64bit","rocache_gld_inst_128bit","prof_trigger_00","prof_trigger_01","prof_trigger_02","prof_trigger_03","prof_trigger_04","prof_trigger_05","prof_trigger_06","prof_trigger_07","atom_cas_count","warps_launched","threads_launched","inst_executed","inst_issued1","inst_issued2","thread_inst_executed","shared_load","shared_store","local_load","local_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","not_predicated_off_thread_inst_executed","l1_local_load_hit","l1_local_load_miss","l1_local_store_hit","l1_local_store_miss","l1_global_load_hit","l1_global_load_miss","uncached_global_load_transaction","global_store_transaction","shared_load_replay","shared_store_replay","global_ld_mem_divergence_replays","global_st_mem_divergence_replays","local_load_transactions","local_store_transactions","l1_shared_load_transactions","l1_shared_store_transactions","__l1_global_load_transactions","__l1_global_store_transactions","atom_count","gred_count","l1_cache_global_hit_rate","l1_cache_local_hit_rate","sm_efficiency","ipc","achieved_occupancy","gld_requested_throughput","gst_requested_throughput","sm_efficiency_instance","ipc_instance","inst_replay_overhead","shared_replay_overhead","global_replay_overhead","global_cache_replay_overhead","tex_cache_hit_rate","tex_cache_throughput","dram_read_throughput","dram_write_throughput","gst_throughput","gld_throughput","local_replay_overhead","shared_efficiency","gld_efficiency","gst_efficiency","l2_l1_read_hit_rate","l2_texture_read_hit_rate","l2_l1_read_throughput","l2_texture_read_throughput","local_memory_overhead","warp_execution_efficiency","nc_gld_requested_throughput","issued_ipc","inst_per_warp","issue_slot_utilization","local_load_transactions_per_request","local_store_transactions_per_request","shared_load_transactions_per_request","shared_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_load_transactions","shared_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","tex_cache_transactions","dram_read_transactions","dram_write_transactions","l2_read_transactions","l2_write_transactions","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","warp_nonpred_execution_efficiency","cf_issued","cf_executed","ldst_issued","ldst_executed","flop_count_sp","flop_count_sp_add","flop_count_sp_mul","flop_count_sp_fma","flop_count_dp","flop_count_dp_add","flop_count_dp_mul","flop_count_dp_fma","flop_count_sp_special","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","l1_shared_utilization","l2_utilization","tex_utilization","dram_utilization","sysmem_utilization","ldst_fu_utilization","alu_fu_utilization","cf_fu_utilization","tex_fu_utilization","inst_issued","issue_slots","nc_l2_read_throughput","nc_l2_read_transactions","nc_cache_global_hit_rate","nc_gld_throughput","nc_gld_efficiency","l2_atomic_throughput","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","atomic_replay_overhead","atomic_transactions","atomic_transactions_per_request","sysmem_read_utilization","sysmem_write_utilization","l2_l1_read_transactions","l2_l1_write_transactions","l2_tex_read_transactions","l2_l1_write_throughput","l2_atomic_transactions","ecc_transactions","ecc_throughput","stall_pipe_busy","stall_constant_memory_dependency","flop_sp_efficiency","flop_dp_efficiency","stall_memory_throttle","stall_not_selected","eligible_warps_per_cycle","atomic_throughput"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,%,,,GB/s,MB/s,%,,,,,,%,B/s,GB/s,GB/s,GB/s,GB/s,,%,%,%,%,%,GB/s,B/s,%,%,B/s,,,%,,,,,,,,,,,,,,,,,,GB/s,GB/s,B/s,B/s,GB/s,GB/s,B/s,B/s,%,,,,,,,,,,,,,,%,%,%,%,%,%,,,,,,,,,,,,B/s,,%,B/s,%,GB/s,,,,,,,,,,,,,,,,,GB/s,,,B/s,%,%,%,%,%,%,,GB/s
"Tesla K20c (0)","1","7","graphlets(int*, unsigned __int64, int*, unsigned __int64, int*, int*, EDGE_OUTPUT*)",0,0,0,0,0,0,0,0,48915167,49340707,60213600,59663009,30214596,28805674,29980528,28904761,24726387,24265091,24743511,24383573,37108523,36661709,36490682,35999026,170176087,169963871,168793859,168390242,145930842,143624046,143204047,144111094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,213266358,215610588,220091023,207628042,83115368,84642880,82501194,85117015,4739964710,105164,0,681169124,0,0,4676790,0,109330784,2839798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12925098,6828,218496,4464417680,4003128139,1130306996,64591532952,0,0,10810971,10753085,256666574,36982354,4733084098,181615248542,1138,59856301508,3088134,7411124,5655291,959026,0,0,629912415,120910021,0,0,374023107,83957786,14485607,12649765,0,0,752289028,127351876,0,93476,0.000000,51.090582,96.029072,0.988624,0.638835,4.110932,857.927142,96.029072,0.988624,0.388510,0.000000,0.101714,0.000000,0.000000,0.000000,5.668513,6.915843,6.741082,29.468850,0.001878,0.000000,13.950092,12.428561,85.168985,0.000000,39.075734,0.000000,23.790492,46.778968,0.000000,1.376119,637973.738576,28.194880,1.339899,1.176385,0.000000,0.000000,5.050064,3.749867,0,0,629912415,120910021,0,6,0,98255874,119876609,856596011,335376457,2.265779,1.809159,0.000000,0.000000,49.418174,19.348318,0.000000,371.000000,42.940153,1550450694,1457538580,1735287620,343681367,0,0,0,0,0,0,0,0,0,5.336269,22.727448,32.532048,0.000000,0.505768,12.841519,"Low (1)","Low (2)","Idle (0)","Low (1)","Low (1)","Mid (4)","Low (2)","Low (1)","Idle (0)",5991339031,4901341085,0.000000,0,0.000000,0.000000,0.000000,11.381974,0,0,2004796084,0,439921649,798121660,253093325,0,0.039040,640595179,49.206248,"Idle (0)","Low (1)",677324059,146259940,0,8.437932,394581700,0,0.000000,3.301986,0.000172,0.000000,0.000000,18.263644,4.491145,2.878165,147.827184
