==20997== NVPROF is profiling process 20997, command: ./graphlets ./networks/HumanPPI_RW.txt 352
==20997== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==20997== Profiling application: ./graphlets ./networks/HumanPPI_RW.txt 352
==20997== Profiling result:
"Device","Context","Stream","Kernel","tex0_cache_sector_queries","tex1_cache_sector_queries","tex0_cache_sector_misses","tex1_cache_sector_misses","fb_subp0_read_sectors","fb_subp1_read_sectors","fb_subp0_write_sectors","fb_subp1_write_sectors","l2_subp0_write_sector_misses","l2_subp1_write_sector_misses","l2_subp0_read_sector_misses","l2_subp1_read_sector_misses","l2_subp0_read_tex_sector_queries","l2_subp1_read_tex_sector_queries","l2_subp0_write_tex_sector_queries","l2_subp1_write_tex_sector_queries","l2_subp0_read_tex_hit_sectors","l2_subp1_read_tex_hit_sectors","l2_subp0_write_tex_hit_sectors","l2_subp1_write_tex_hit_sectors","l2_subp0_total_read_sector_queries","l2_subp1_total_read_sector_queries","l2_subp0_total_write_sector_queries","l2_subp1_total_write_sector_queries","l2_subp0_read_sysmem_sector_queries","l2_subp1_read_sysmem_sector_queries","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","elapsed_cycles_sm","gld_inst_8bit","gld_inst_16bit","gld_inst_32bit","gld_inst_64bit","gld_inst_128bit","gst_inst_8bit","gst_inst_16bit","gst_inst_32bit","gst_inst_64bit","gst_inst_128bit","prof_trigger_00","prof_trigger_01","prof_trigger_02","prof_trigger_03","prof_trigger_04","prof_trigger_05","prof_trigger_06","prof_trigger_07","warps_launched","inst_issued0","inst_issued1","inst_issued2","inst_executed","thread_inst_executed","not_predicated_off_thread_inst_executed","active_cycles","active_warps","global_load","global_store","generic_load","generic_store","inst_executed_in_trap","active_cycles_in_trap","local_store","local_load","shared_load","shared_store","inst_executed_shared_atom_cas","shared_atom","global_atom_cas","atom_count","gred_count","divergent_branch","branch","shared_ld_bank_conflict","shared_st_bank_conflict","shared_ld_transactions","shared_st_transactions","inst_per_warp","branch_efficiency","warp_execution_efficiency","warp_nonpred_execution_efficiency","inst_replay_overhead","shared_load_transactions_per_request","shared_store_transactions_per_request","local_load_transactions_per_request","local_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_store_transactions","shared_load_transactions","local_load_transactions","local_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","l2_read_transactions","l2_write_transactions","global_hit_rate","local_hit_rate","gld_requested_throughput","gst_requested_throughput","gld_throughput","gst_throughput","local_memory_overhead","tex_cache_hit_rate","l2_tex_read_hit_rate","l2_tex_write_hit_rate","tex_cache_throughput","l2_tex_read_throughput","l2_tex_write_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","gld_efficiency","gst_efficiency","tex_cache_transactions","flop_count_dp","flop_count_dp_add","flop_count_dp_fma","flop_count_dp_mul","flop_count_sp","flop_count_sp_add","flop_count_sp_fma","flop_count_sp_mul","flop_count_sp_special","inst_issued","sysmem_utilization","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","stall_constant_memory_dependency","stall_pipe_busy","shared_efficiency","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","issue_slots","cf_issued","cf_executed","ldst_issued","ldst_executed","atomic_transactions","atomic_transactions_per_request","l2_atomic_throughput","l2_atomic_transactions","l2_tex_read_transactions","stall_memory_throttle","stall_not_selected","l2_tex_write_transactions","flop_count_hp","flop_count_hp_add","flop_count_hp_mul","flop_count_hp_fma","inst_fp_16","sysmem_read_utilization","sysmem_write_utilization","sm_activity","achieved_occupancy","executed_ipc","issued_ipc","issue_slot_utilization","eligible_warps_per_cycle","tex_utilization","l2_utilization","shared_utilization","ldst_fu_utilization","cf_fu_utilization","special_fu_utilization","tex_fu_utilization","single_precision_fu_utilization","double_precision_fu_utilization","flop_hp_efficiency","flop_sp_efficiency","flop_dp_efficiency","dram_read_transactions","dram_write_transactions","dram_read_throughput","dram_write_throughput","dram_utilization","half_precision_fu_utilization","ecc_transactions","ecc_throughput"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,GB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,B/s,GB/s,GB/s,B/s,B/s,%,%,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,GB/s,,,%,%,,,,,,,,,%,,,,%,,,,,,,,,,,%,%,%,,,GB/s,GB/s,,,,B/s
"GeForce GTX 1080 (0)","1","7","graphlets(int*, unsigned __int64, int*, unsigned __int64, int*, int*, EDGE_OUTPUT*)",9233122646,8852792358,7284927142,7515025148,281620709,276798774,100997144,100292418,99733656,100342322,278278689,280140794,4185739337,4186816085,1294219145,1290115840,3885105295,3930136063,1297475091,1286491690,5761538111,5771389061,2811634167,2817921891,0,0,0,5,"<OVERFLOW>",74000024,0,7514940878,0,0,23528735,0,1470800949,1724541,0,0,0,0,0,0,0,0,0,4147,192735709237,34276350504,2833040568,39980514285,267059047254,253363778776,62218531462,1647232893504,1828849438,8029170,2100909426,901346585,0,0,181359919,694337839,0,0,0,0,181430328,0,92276,220763820,5821965482,0,0,0,0,9573139.335905,96.208088,20.874157,19.803692,0.000000,0.000000,0.000000,5.026310,5.924958,2.258622,1.663583,0,0,3440581872,1074549965,8069113456,1507313470,0,5,11532927172,5629556058,16.937269,52.732893,8.665061,1.903889,69.069206,15.510820,25.094673,39.288817,93.044838,100.125143,106.701341,86.433336,26.556751,118.678136,57.930238,0.000000,55.000000,35.404875,11.057521,0.000000,0.000000,12.545477,12.274589,10369043841,0,0,0,0,0,0,0,0,0,39923409811,"Low (1)",4.744021,9.778889,81.697490,0.000459,0.294572,2.636028,0.000054,0.358312,0.000000,0,0,36194897909,0,6560639883,9084995127,5364038801,0,37077892183,6752288093,6752288093,12537891689,5924948510,3119418454,17.184738,31.817189,6183874096,8399435712,0.000009,0.490167,2580737173,0,0,0,0,0,"Idle (0)","Low (1)","<OVERFLOW>",0.408257,0.629719,0.637641,14.804848,0.716676,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","Low (1)","Low (1)","Low (1)","Low (2)","Low (2)","Idle (0)","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",558419483,201289562,5.746345,2.071345,"Low (1)","Idle (0)",0,0.000000
